study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp
PRJEB38036	SAMEA6804738	ERX4088297	ERR4097124	408170	human gut metagenome	CNX0150074	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097124/ERR4097124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097124/ERR4097124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097124/E_39.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097124/E_39.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097124
PRJEB38036	SAMEA6804739	ERX4088298	ERR4097125	408170	human gut metagenome	CNX0150075	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097125/ERR4097125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097125/ERR4097125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097125/E_4.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097125/E_4.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097125
PRJEB38036	SAMEA6804740	ERX4088299	ERR4097126	408170	human gut metagenome	CNX0150072	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097126/ERR4097126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097126/ERR4097126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097126/E_37.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097126/E_37.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097126
PRJEB38036	SAMEA6804765	ERX4088300	ERR4097127	408170	human gut metagenome	CNX0149960	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097127/ERR4097127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097127/ERR4097127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097127/C_14.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097127/C_14.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097127
PRJEB38036	SAMEA6804901	ERX4088301	ERR4097128	408170	human gut metagenome	CNX0149999	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097128/ERR4097128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097128/ERR4097128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097128/D_3.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097128/D_3.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097128
PRJEB38036	SAMEA6804902	ERX4088302	ERR4097129	408170	human gut metagenome	CNX0149998	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097129/ERR4097129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097129/ERR4097129_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097129/D_29.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097129/D_29.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097129
PRJEB38036	SAMEA6804905	ERX4088303	ERR4097130	408170	human gut metagenome	CNX0149997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097130/ERR4097130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097130/ERR4097130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097130/D_28.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097130/D_28.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097130
PRJEB38036	SAMEA6804906	ERX4088304	ERR4097131	408170	human gut metagenome	CNX0149996	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097131/ERR4097131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097131/ERR4097131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097131/D_27.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097131/D_27.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097131
PRJEB38036	SAMEA6804903	ERX4088305	ERR4097132	408170	human gut metagenome	CNX0149995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097132/ERR4097132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097132/ERR4097132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097132/D_2.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097132/D_2.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097132
PRJEB38036	SAMEA6804904	ERX4088306	ERR4097133	408170	human gut metagenome	CNX0149994	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097133/ERR4097133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097133/ERR4097133_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097133/D_18.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097133/D_18.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097133
PRJEB38036	SAMEA6804909	ERX4088307	ERR4097134	408170	human gut metagenome	CNX0149993	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097134/ERR4097134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097134/ERR4097134_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097134/D_17.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097134/D_17.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097134
PRJEB38036	SAMEA6804910	ERX4088308	ERR4097135	408170	human gut metagenome	CNX0149992	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097135/ERR4097135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097135/ERR4097135_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097135/D_16.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097135/D_16.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097135
PRJEB38036	SAMEA6804907	ERX4088309	ERR4097136	408170	human gut metagenome	CNX0149991	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097136/ERR4097136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097136/ERR4097136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097136/D_15.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097136/D_15.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097136
PRJEB38036	SAMEA6804908	ERX4088310	ERR4097137	408170	human gut metagenome	CNX0149990	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097137/ERR4097137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097137/ERR4097137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097137/D_14.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097137/D_14.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097137
PRJEB38036	SAMEA6804868	ERX4088311	ERR4097138	408170	human gut metagenome	CNX0149945	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097138/ERR4097138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097138/ERR4097138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097138/B_4_23.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097138/B_4_23.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097138
PRJEB38036	SAMEA6804843	ERX4088312	ERR4097139	408170	human gut metagenome	CNX0149979	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097139/ERR4097139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097139/ERR4097139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097139/C_42.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097139/C_42.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097139
PRJEB38036	SAMEA6804766	ERX4088313	ERR4097140	408170	human gut metagenome	CNX0149961	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097140/ERR4097140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097140/ERR4097140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097140/C_15.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097140/C_15.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097140
PRJEB38036	SAMEA6804844	ERX4088314	ERR4097141	408170	human gut metagenome	CNX0149978	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097141/ERR4097141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097141/ERR4097141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097141/C_41.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097141/C_41.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097141
PRJEB38036	SAMEA6804763	ERX4088315	ERR4097142	408170	human gut metagenome	CNX0149962	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097142/ERR4097142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097142/ERR4097142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097142/C_16.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097142/C_16.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097142
PRJEB38036	SAMEA6804889	ERX4088316	ERR4097143	408170	human gut metagenome	CNX0150067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097143/ERR4097143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097143/ERR4097143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097143/E_29.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097143/E_29.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097143
PRJEB38036	SAMEA6804968	ERX4088317	ERR4097144	408170	human gut metagenome	CNX0150115	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097144/ERR4097144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097144/ERR4097144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097144/F_42.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097144/F_42.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097144
PRJEB38036	SAMEA6804834	ERX4088318	ERR4097145	408170	human gut metagenome	CNX0149939	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097145/ERR4097145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097145/ERR4097145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097145/B_39.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097145/B_39.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097145
PRJEB38036	SAMEA6804954	ERX4088319	ERR4097146	408170	human gut metagenome	CNX0149898	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097146/ERR4097146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097146/ERR4097146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097146/A_18.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097146/A_18.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097146
PRJEB38036	SAMEA6804891	ERX4088320	ERR4097147	408170	human gut metagenome	CNX0150065	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097147/ERR4097147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097147/ERR4097147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097147/E_27.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097147/E_27.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097147
PRJEB38036	SAMEA6804892	ERX4088321	ERR4097148	408170	human gut metagenome	CNX0150064	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097148/ERR4097148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097148/ERR4097148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097148/E_2.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097148/E_2.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097148
PRJEB38036	SAMEA6804832	ERX4088322	ERR4097149	408170	human gut metagenome	CNX0150108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097149/ERR4097149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097149/ERR4097149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097149/F_4.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097149/F_4.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097149
PRJEB38036	SAMEA6804752	ERX4088323	ERR4097150	408170	human gut metagenome	CNX0150109	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097150/ERR4097150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097150/ERR4097150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097150/F_4_19.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097150/F_4_19.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097150
PRJEB38036	SAMEA6804895	ERX4088324	ERR4097151	408170	human gut metagenome	CNX0150061	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097151/ERR4097151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097151/ERR4097151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097151/E_16.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097151/E_16.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097151
PRJEB38036	SAMEA6804896	ERX4088325	ERR4097152	408170	human gut metagenome	CNX0150060	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097152/ERR4097152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097152/ERR4097152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097152/E_15.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097152/E_15.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097152
PRJEB38036	SAMEA6804893	ERX4088326	ERR4097153	408170	human gut metagenome	CNX0150063	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097153/ERR4097153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097153/ERR4097153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097153/E_18.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097153/E_18.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097153
